coef,term
-6.63036859584,labour member
-6.02190405671,offici report
-5.28466334994,minist may
-5.09864944866,secretari state
-4.90754776554,financi secretari
-4.79590679688,minist said
-4.53093613943,labour parti
-4.16504307633,agre hous
-4.04153982845,minist would
-3.72028704432,declar interest
-3.68414215617,govern seem
-3.68190185678,good point
-3.58338029443,side hous
-3.55361155701,coalit govern
-3.54545709456,polit correct
-3.48243014987,tell us
-3.31784823709,public financ
-3.30035239077,great pleasur
-3.26779823358,may well
-3.24245075908,fact govern
-3.23573763619,red tape
-3.17080263795,would like
-3.1334691808,govern intend
-3.12864599315,last govern
-3.08740609888,european court
-3.08662001092,minist confirm
-3.04468580334,new labour
-3.0427078178,minist agre
-2.96746959923,govern may
-2.95311474122,would enabl
-2.87981146765,would grate
-2.79561392715,hous built
-2.79275050589,nation interest
-2.78592907346,govern say
-2.77914010244,govern fail
-2.77322695875,prime minist
-2.7691050405,minist give
-2.75374997899,statement hous
-2.74361919268,govern think
-2.72306849001,anoth exampl
-2.71874422054,minist state
-2.71512875639,grammar school
-2.69093352529,south west
-2.67408001731,govern claim
-2.62800561277,move hous
-2.62403325119,one thing
-2.6085797702,govern seek
-2.599079752,home secretari
-2.55203336892,yet anoth
-2.54786637551,budget deficit
-2.53394293665,none less
-2.51275103899,increas cost
-2.49781945116,town centr
-2.49393751032,person account
-2.47548544733,district council
-2.47483271751,minist say
-2.45062977159,govern failur
-2.43464665937,pupil premium
-2.42579375316,quit lot
-2.41339697262,said govern
-2.40833602058,reform public
-2.40301346963,govern tri
-2.39659038134,absolut right
-2.39113285811,hold govern
-2.3820790722,margaret thatcher
-2.37029395676,one could
-2.35700969487,fuel duti
-2.35635346611,govern want
-2.32454528293,point view
-2.30590263736,meet target
-2.28149018631,state govern
-2.28021947932,counti council
-2.27760483176,interest hear
-2.27409655476,govern account
-2.27292335835,statut book
-2.26473759916,much hope
-2.24338043643,urg minist
-2.22342969566,hope govern
-2.21890573174,huge amount
-2.21815036726,govern target
-2.21447220935,high speed
-2.21436043939,difficult time
-2.20586573002,almost everi
-2.20583616615,conserv believ
-2.20062666386,per annum
-2.20024345489,get wors
-2.19283427436,rule law
-2.18383322904,lord mandelson
-2.18365337408,press releas
-2.17675724833,mental ill
-2.17548391227,minist make
-2.1744665869,spend much
-2.17400458351,boundari commiss
-2.16929747676,lucki enough
-2.15929893493,one two
-2.14982570691,green deal
-2.14590001663,cold war
-2.1297268887,govern one
-2.12799523544,special educ
-2.12691477333,shadow minist
